symbol	tx_id	tx_biotype	exon_id	exon_rank
1700001K19Rik	1700001K19Rik	protein_coding	NA	NA
1700001K23Rik	1700001K23Rik	lincRNA	NA	NA
1700001L05Rik	1700001L05Rik	lincRNA	NA	NA
1700001L19Rik	1700001L19Rik	protein_coding	NA	NA
1700001N15Rik	1700001N15Rik	lincRNA	NA	NA
1700001O22Rik	1700001O22Rik	protein_coding	NA	NA
1700001P01Rik	1700001P01Rik	protein_coding	NA	NA
1700003C15Rik	1700003C15Rik	lincRNA	NA	NA
1700003D09Rik	1700003D09Rik	processed_transcript	NA	NA
1700003E16Rik	1700003E16Rik	protein_coding	NA	NA
1700003E24Rik	1700003E24Rik	lincRNA	NA	NA
1700003F12Rik	1700003F12Rik	protein_coding	NA	NA
1700003G18Rik	1700003G18Rik	processed_transcript	NA	NA
1700003H04Rik	1700003H04Rik	protein_coding	NA	NA
1700003I16Rik	1700003I16Rik	lincRNA	NA	NA
1700003I22Rik	1700003I22Rik	lincRNA	NA	NA
1700003L19Rik	1700003L19Rik	lincRNA	NA	NA
1700003M07Rik	1700003M07Rik	lincRNA	NA	NA
1700003N22Rik	1700003N22Rik	processed_pseudogene	NA	NA
1700003O11Rik	1700003O11Rik	antisense	NA	NA
1700003P14Rik	1700003P14Rik	lincRNA	NA	NA
1700006A11Rik	1700006A11Rik	protein_coding	NA	NA
1700006F04Rik	1700006F04Rik	sense_intronic	NA	NA
1700006H21Rik	1700006H21Rik	lincRNA	NA	NA
1700006J14Rik	1700006J14Rik	antisense	NA	NA
1700006P03Rik	1700006P03Rik	TEC	NA	NA
1700007E05Rik	1700007E05Rik	transcribed_processed_pseudogene	NA	NA
1700007F19Rik	1700007F19Rik	lincRNA	NA	NA
1700007H22Rik	1700007H22Rik	lincRNA	NA	NA
1700007J10Rik	1700007J10Rik	processed_transcript	NA	NA
1700007K13Rik	1700007K13Rik	protein_coding	NA	NA
1700007L15Rik	1700007L15Rik	bidirectional_promoter_lncRNA	NA	NA
1700007M16Rik	1700007M16Rik	lincRNA	NA	NA
1700007P06Rik	1700007P06Rik	antisense	NA	NA
1700008A23Rik	1700008A23Rik	TEC	NA	NA
1700008B11Rik	1700008B11Rik	antisense	NA	NA
1700008C04Rik	1700008C04Rik	lincRNA	NA	NA
1700008H02Rik	1700008H02Rik	TEC	NA	NA
1700008J07Rik	1700008J07Rik	antisense	NA	NA
1700008K24Rik	1700008K24Rik	lincRNA	NA	NA
1700008N11Rik	1700008N11Rik	lincRNA	NA	NA
1700008O03Rik	1700008O03Rik	protein_coding	NA	NA
1700008P02Rik	1700008P02Rik	protein_coding	NA	NA
1700009C05Rik	1700009C05Rik	lincRNA	NA	NA
1700009J07Rik	1700009J07Rik	lincRNA	NA	NA
1700009N14Rik	1700009N14Rik	protein_coding	NA	NA
1700010B08Rik	1700010B08Rik	protein_coding	NA	NA
1700010B13Rik	1700010B13Rik	processed_transcript	NA	NA
1700010D01Rik	1700010D01Rik	lincRNA	NA	NA
1700010G06Rik	1700010G06Rik	antisense	NA	NA
1700010H22Rik	1700010H22Rik	lincRNA	NA	NA
1700010I02Rik	1700010I02Rik	lincRNA	NA	NA
1700010I14Rik	1700010I14Rik	protein_coding	NA	NA
1700010J16Rik	1700010J16Rik	lincRNA	NA	NA
1700010K23Rik	1700010K23Rik	antisense	NA	NA
1700010K24Rik	1700010K24Rik	antisense	NA	NA
1700010L04Rik	1700010L04Rik	lincRNA	NA	NA
1700010N08Rik	1700010N08Rik	transcribed_processed_pseudogene	NA	NA
1700011B04Rik	1700011B04Rik	processed_transcript	NA	NA
1700011C11Rik	1700011C11Rik	lincRNA	NA	NA
1700011D18Rik	1700011D18Rik	lincRNA	NA	NA
1700011L03Rik	1700011L03Rik	lincRNA	NA	NA
1700011L22Rik	1700011L22Rik	protein_coding	NA	NA
1700011M02Rik	1700011M02Rik	protein_coding	NA	NA
1700012A03Rik	1700012A03Rik	protein_coding	NA	NA
1700012B07Rik	1700012B07Rik	protein_coding	NA	NA
1700012B09Rik	1700012B09Rik	protein_coding	NA	NA
1700012C08Rik	1700012C08Rik	processed_transcript	NA	NA
1700012C14Rik	1700012C14Rik	lincRNA	NA	NA
1700012D14Rik	1700012D14Rik	processed_transcript	NA	NA
1700012D16Rik	1700012D16Rik	sense_intronic	NA	NA
1700012E03Rik	1700012E03Rik	lincRNA	NA	NA
1700012I11Rik	1700012I11Rik	lincRNA	NA	NA
1700012J15Rik	1700012J15Rik	lincRNA	NA	NA
1700012J22Rik	1700012J22Rik	TEC	NA	NA
1700012P22Rik	1700012P22Rik	protein_coding	NA	NA
1700013A02Rik	1700013A02Rik	TEC	NA	NA
1700013D24Rik	1700013D24Rik	lincRNA	NA	NA
1700013F07Rik	1700013F07Rik	protein_coding	NA	NA
1700013G24Rik	1700013G24Rik	protein_coding	NA	NA
1700013H16Rik	1700013H16Rik	protein_coding	NA	NA
1700013M08Rik	1700013M08Rik	antisense	NA	NA
1700013N06Rik	1700013N06Rik	lincRNA	NA	NA
1700014D04Rik	1700014D04Rik	protein_coding	NA	NA
1700014F14Rik	1700014F14Rik	lincRNA	NA	NA
1700014L14Rik	1700014L14Rik	lincRNA	NA	NA
1700015C15Rik	1700015C15Rik	antisense	NA	NA
1700015C17Rik	1700015C17Rik	sense_intronic	NA	NA
1700015F17Rik	1700015F17Rik	protein_coding	NA	NA
1700015G11Rik	1700015G11Rik	protein_coding	NA	NA
1700015H07Rik	1700015H07Rik	antisense	NA	NA
1700015I17Rik	1700015I17Rik	lincRNA	NA	NA
1700015O11Rik	1700015O11Rik	lincRNA	NA	NA
1700016A09Rik	1700016A09Rik	TEC	NA	NA
1700016B01Rik	1700016B01Rik	lincRNA	NA	NA
1700016B15Rik	1700016B15Rik	TEC	NA	NA
1700016C15Rik	1700016C15Rik	protein_coding	NA	NA
1700016D06Rik	1700016D06Rik	protein_coding	NA	NA
1700016D08Rik	1700016D08Rik	TEC	NA	NA
1700016F12Rik	1700016F12Rik	lincRNA	NA	NA
1700016G22Rik	1700016G22Rik	lincRNA	NA	NA
1700016H03Rik	1700016H03Rik	antisense	NA	NA
1700016H13Rik	1700016H13Rik	protein_coding	NA	NA
1700016J18Rik	1700016J18Rik	bidirectional_promoter_lncRNA	NA	NA
1700016K05Rik	1700016K05Rik	antisense	NA	NA
1700016K19Rik	1700016K19Rik	protein_coding	NA	NA
1700016L21Rik	1700016L21Rik	antisense	NA	NA
1700016P03Rik	1700016P03Rik	processed_transcript	NA	NA
1700016P04Rik	1700016P04Rik	lincRNA	NA	NA
1700017B05Rik	1700017B05Rik	protein_coding	NA	NA
1700017G19Rik	1700017G19Rik	lincRNA	NA	NA
1700017G19Rik	1700017G19Rik	lncRNA	NA	NA
1700017I07Rik	1700017I07Rik	lincRNA	NA	NA
1700017J07Rik	1700017J07Rik	lincRNA	NA	NA
1700017L05Rik	1700017L05Rik	lincRNA	NA	NA
1700017M07Rik	1700017M07Rik	lincRNA	NA	NA
1700017N19Rik	1700017N19Rik	protein_coding	NA	NA
1700018A04Rik	1700018A04Rik	lincRNA	NA	NA
1700018A14Rik	1700018A14Rik	TEC	NA	NA
1700018A23Rik	1700018A23Rik	antisense	NA	NA
1700018B08Rik	1700018B08Rik	protein_coding	NA	NA
1700018B24Rik	1700018B24Rik	lincRNA	NA	NA
1700018F24Rik	1700018F24Rik	protein_coding	NA	NA
1700018G05Rik	1700018G05Rik	protein_coding	NA	NA
1700018L02Rik	1700018L02Rik	antisense	NA	NA
1700018M17Rik	1700018M17Rik	pseudogene	NA	NA
1700018P08Rik	1700018P08Rik	lincRNA	NA	NA
1700019A02Rik	1700019A02Rik	protein_coding	NA	NA
1700019A23Rik	1700019A23Rik	TEC	NA	NA
1700019C18Rik	1700019C18Rik	lincRNA	NA	NA
1700019D03Rik	1700019D03Rik	protein_coding	NA	NA
1700019E08Rik	1700019E08Rik	lincRNA	NA	NA
1700019F05Rik	1700019F05Rik	lincRNA	NA	NA
1700019G24Rik	1700019G24Rik	antisense	NA	NA
1700019J19Rik	1700019J19Rik	lincRNA	NA	NA
1700019L13Rik	1700019L13Rik	antisense	NA	NA
1700019M22Rik	1700019M22Rik	processed_pseudogene	NA	NA
1700019N19Rik	1700019N19Rik	protein_coding	NA	NA
1700019P21Rik	1700019P21Rik	lincRNA	NA	NA
1700020A23Rik	1700020A23Rik	protein_coding	NA	NA
1700020D05Rik	1700020D05Rik	protein_coding	NA	NA
1700020D12Rik	1700020D12Rik	lincRNA	NA	NA
1700020G03Rik	1700020G03Rik	TEC	NA	NA
1700020G17Rik	1700020G17Rik	antisense	NA	NA
1700020L24Rik	1700020L24Rik	protein_coding	NA	NA
1700020M21Rik	1700020M21Rik	lincRNA	NA	NA
1700020N01Rik	1700020N01Rik	protein_coding	NA	NA
1700020N15Rik	1700020N15Rik	protein_coding	NA	NA
1700020N18Rik	1700020N18Rik	lincRNA	NA	NA
1700021A07Rik	1700021A07Rik	lincRNA	NA	NA
1700021F02Rik	1700021F02Rik	lincRNA	NA	NA
1700021F07Rik	1700021F07Rik	protein_coding	NA	NA
1700021F13Rik	1700021F13Rik	lincRNA	NA	NA
1700021G15Rik	1700021G15Rik	lincRNA	NA	NA
1700021J08Rik	1700021J08Rik	antisense	NA	NA
1700021L23Rik	1700021L23Rik	lincRNA	NA	NA
1700021N21Rik	1700021N21Rik	antisense	NA	NA
1700021P04Rik	1700021P04Rik	lincRNA	NA	NA
1700022A21Rik	1700022A21Rik	transcribed_processed_pseudogene	NA	NA
1700022A22Rik	1700022A22Rik	lincRNA	NA	NA
1700022E09Rik	1700022E09Rik	lincRNA	NA	NA
1700022H01Rik	1700022H01Rik	bidirectional_promoter_lncRNA	NA	NA
